电影ID,电影名称,电影描述,电影排序标题,演员,导演,上映时间,发行商,电影时长,标签,文件地址,视频编码,视频宽度,视频高度,视频时间
movie-161,魔法满屋,哥伦比亚少女发现自己是家族中唯一没有魔法的人,魔法满屋,斯蒂芬妮·比翠丝|玛丽亚·塞西莉亚·博特罗|约翰·雷吉扎莫|戴安·格雷罗,查里斯·卡斯特罗·史密斯,2021,迪士尼,102,动画|奇幻|喜剧,D:/Movies/魔法满屋.mp4,H264,1920,1080,6120
movie-162,青春变形记,一位加拿大华裔女孩在情绪激动时变成小熊猫,青春变形记,吴珊卓|劳拉·卢|陈凌轩|艾米·陈,石之予,2022,皮克斯,100,动画|喜剧|家庭,D:/Movies/青春变形记.mp4,H264,1920,1080,6000
movie-163,库伊拉,时尚Icon库伊拉·德维尔的起源故事,库伊拉,艾玛·斯通|艾玛·汤普森|乔尔·弗莱|马克·斯特朗,克雷格·吉莱斯皮,2021,迪士尼,134,喜剧|犯罪|剧情,D:/Movies/库伊拉.mp4,H264,1920,1080,8040
movie-164,钢铁之躯,超人的起源故事和他在地球的成长,超人钢铁之躯,亨利·卡维尔|艾米·亚当斯|迈克尔·珊农|凯文·科斯特纳,扎克·施奈德,2013,华纳兄弟,143,动作|科幻|奇幻,D:/Movies/钢铁之躯.mp4,H264,1920,1080,8580
movie-165,蝙蝠侠大战超人：正义黎明,蝙蝠侠和超人之间史诗般的对决,蝙蝠侠大战超人,本·阿弗莱克|亨利·卡维尔|杰西·艾森伯格|盖尔·加朵,扎克·施奈德,2016,华纳兄弟,183,动作|科幻|奇幻,D:/Movies/蝙蝠侠大战超人正义黎明.mp4,H264,1920,1080,10980
movie-166,自杀小队,一群超级反派被招募执行危险任务,自杀小队,玛格特·罗比|威尔·史密斯|杰瑞德·莱托|乔尔·金纳曼,大卫·阿耶,2016,华纳兄弟,123,动作|科幻|喜剧,D:/Movies/自杀小队.mp4,H264,1920,1080,7380
movie-167,神奇女侠1984,戴安娜在1980年代面对新的威胁,神奇女侠1984,盖尔·加朵|克里斯·派恩|克里斯汀·韦格|佩德罗·帕斯卡,派蒂·杰金斯,2020,华纳兄弟,151,动作|奇幻|冒险,D:/Movies/神奇女侠1984.mp4,H264,1920,1080,9060
movie-168,X战警：天启,古老变种人天启苏醒并威胁世界,X战警天启,詹姆斯·麦卡沃伊|迈克尔·法斯宾德|詹妮弗·劳伦斯|奥斯卡·伊萨克,布莱恩·辛格,2016,二十世纪福克斯,144,动作|科幻|奇幻,D:/Movies/X战警天启.mp4,H264,1920,1080,8640
movie-169,金刚：骷髅岛,一支探险队来到骷髅岛遭遇巨型生物,金刚骷髅岛,汤姆·希德勒斯顿|布丽·拉尔森|塞缪尔·L·杰克逊|约翰·C·赖利,乔丹·沃格特-罗伯茨,2017,传奇影业,119,动作|奇幻|冒险,D:/Movies/金刚骷髅岛.mp4,H264,1920,1080,7140
movie-170,哥斯拉2：怪兽之王,泰坦巨兽苏醒，人类必须找出路,哥斯拉2,凯尔·钱德勒|薇拉·法蜜嘉|莎莉·霍金斯|迈克尔·法斯宾德,迈克尔·道赫蒂,2019,传奇影业,132,动作|科幻|奇幻,D:/Movies/哥斯拉2怪兽之王.mp4,H264,1920,1080,7920
movie-171,哥斯拉大战金刚,两位巨兽史诗般的对决,哥斯拉大战金刚,亚历山大·斯卡斯加德|米莉·博比·布朗|丽贝卡·豪尔|小罗伯特·唐尼,亚当·温加德,2021,传奇影业,113,动作|科幻|冒险,D:/Movies/哥斯拉大战金刚.mp4,H264,1920,1080,6780
movie-172,侏罗纪世界,主题公园开放但遭遇灾难,侏罗纪世界,克里斯·帕拉特|布莱斯·达拉斯·霍华德|文森特·多诺费奥|尼克·罗宾逊,科林·特雷沃罗,2015,环球影业,124,动作|科幻|冒险,D:/Movies/侏罗纪世界.mp4,H264,1920,1080,7440
movie-173,侏罗纪世界2,火山爆发即将来临，恐龙面临危险,侏罗纪世界2,克里斯·帕拉特|布莱斯·达拉斯·霍华德|拉菲·卡西迪|丹妮艾拉·皮内达,J·A·巴亚纳,2018,环球影业,128,动作|科幻|冒险,D:/Movies/侏罗纪世界2.mp4,H264,1920,1080,7680
movie-174,侏罗纪世界3,恐龙与人类共存的新世界,侏罗纪世界3,克里斯·帕拉特|布莱斯·达拉斯·霍华德|劳拉·达恩|山姆·尼尔,科林·特雷沃罗,2022,环球影业,147,动作|科幻|冒险,D:/Movies/侏罗纪世界3.mp4,H264,1920,1080,8820
movie-175,速度与激情6,多米尼克团队帮助政府抓住逃犯,速度与激情6,范·迪塞尔|保罗·沃克|乔丹娜·布鲁斯特|卢达·克里斯,林诣彬,2013,环球影业,130,动作|惊悚|犯罪,D:/Movies/速度与激情6.mp4,H264,1920,1080,7800
movie-176,速度与激情：特别行动,霍布斯和肖被迫联手对抗敌人,速度与激情特别行动,道恩·强森|杰森·斯坦森|伊莎贝拉·莫娜|埃迪·马森,大卫·里奇,2019,环球影业,136,动作|惊悚|喜剧,D:/Movies/速度与激情特别行动.mp4,H264,1920,1080,8160
movie-177,极寒之城,柏林墙倒塌前的间谍游戏,极寒之城,查理兹·塞隆|詹姆斯·麦卡沃伊|约翰·古德曼|托比亚·曼贝特,大卫·里奇,2017,焦点电影,115,动作|惊悚|剧情,D:/Movies/极寒之城.mp4,H264,1920,1080,6900
movie-178,安娜,一位双面女间谍的神秘故事,安娜,萨莎·露丝|伊琳娜|海伦·米伦|卢克·伊万斯,吕克·贝松,2019,顶峰娱乐,118,动作|惊悚|剧情,D:/Movies/安娜.mp4,H264,1920,1080,7080
movie-179,神弃之地,俄亥俄州的一个小镇被宗教狂热和暴力笼罩,神弃之地,汤姆·赫兰德|罗伯特·帕丁森|比尔·斯卡斯加德|米娅·华莱科米斯基,安东尼奥·坎波,2020,Netflix,127,剧情|惊悚|犯罪,D:/Movies/神弃之地.mp4,H264,1920,1080,7620
movie-180,谢里,一位年轻医生在伊拉克战争后的心理挣扎,谢里,杰克·吉伦哈尔|保罗·拉思伯恩|塔米卡·马丁|克里斯汀·斯图尔特,弗朗西斯·福特·科波拉,2021,A24,123,剧情|战争,D:/Movies/谢里.mp4,H264,1920,1080,7380
