电影ID,电影名称,电影描述,电影排序标题,演员,导演,上映时间,发行商,电影时长,标签,文件地址,视频编码,视频宽度,视频高度,视频时间
movie-001,复仇者联盟4：终局之战,漫威超级英雄们集结对抗灭霸的史诗结局,复仇者联盟4,小罗伯特·唐尼|克里斯·埃文斯|克里斯·海姆斯沃斯|斯嘉丽·约翰逊|马克·鲁法洛,罗素兄弟,2019,迪士尼,181,动作|科幻|冒险,D:/Movies/复仇者联盟4终局之战.mp4,H264,1920,1080,10860
movie-002,蝙蝠侠：黑暗骑士,蝙蝠侠与小丑在哥谭市展开的对决,蝙蝠侠黑暗骑士,克里斯蒂安·贝尔|希斯·莱杰|艾伦·艾克哈特|摩根·弗里曼|加里·奥德曼,克里斯托弗·诺兰,2008,华纳兄弟,152,动作|犯罪|剧情,D:/Movies/蝙蝠侠黑暗骑士.mp4,H264,1920,1080,9120
movie-003,盗梦空间,造梦师柯布能够进入他人梦境窃取秘密,盗梦空间,莱昂纳多·迪卡普里奥|约瑟夫·高登-莱维特|玛丽昂·歌迪亚|汤姆·哈迪|艾伦·佩姬,克里斯托弗·诺兰,2010,华纳兄弟,148,科幻|动作|惊悚,D:/Movies/盗梦空间.mp4,H264,1920,1080,8880
movie-004,泰坦尼克号,1912年泰坦尼克号邮轮沉没的爱情灾难片,泰坦尼克号,莱昂纳多·迪卡普里奥|凯特·温丝莱特|比利·赞恩|凯西·贝茨,詹姆斯·卡梅隆,1997,派拉蒙影业,194,爱情|灾难|剧情,D:/Movies/泰坦尼克号.mp4,H264,1920,1080,11640
movie-005,阿凡达,人类与潘多拉星球纳美族人冲突融合的故事,阿凡达,萨姆·沃辛顿|佐伊·索尔达娜|西格妮·韦弗|吉奥瓦尼·瑞比西,詹姆斯·卡梅隆,2009,二十世纪福克斯,162,科幻|动作|冒险,D:/Movies/阿凡达.mp4,H264,1920,1080,9720
movie-006,侏罗纪公园,科学家利用恐龙DNA克隆出恐龙的惊险故事,侏罗纪公园,萨姆·尼尔|劳拉·邓恩|杰夫·高布伦|理查德·阿滕伯勒,史蒂文·斯皮尔伯格,1993,环球影业,127,科幻|冒险|惊悚,D:/Movies/侏罗纪公园.mp4,H264,1920,1080,7620
movie-007,辛德勒的名单,二战期间德国商人辛德勒营救犹太人的真实故事,辛德勒的名单,连姆·尼森|本·金斯利|拉尔夫·费因斯|艾伯斯·德秀,史蒂文·斯皮尔伯格,1993,环球影业,195,剧情|历史|战争,D:/Movies/辛德勒的名单.mp4,H264,1920,1080,11700
movie-008,黑客帝国,尼奥发现现实世界是虚拟程序的科幻动作片,黑客帝国,基努·里维斯|劳伦斯·菲什伯恩|凯瑞-安·莫斯|雨果·维文,莉莉·沃卓斯基,1999,华纳兄弟,136,科幻|动作|惊悚,D:/Movies/黑客帝国.mp4,H264,1920,1080,8160
movie-009,指环王：王者归来,佛罗多和山姆完成销毁魔戒使命的史诗结局,指环王三部曲王者归来,伊利亚·伍德|伊恩·麦克莱恩|维戈·莫特森|肖恩·宾|凯特·布兰切特,彼得·杰克逊,2003,新线电影,201,奇幻|动作|冒险,D:/Movies/指环王王者归来.mp4,H264,1920,1080,12060
movie-010,搏击俱乐部,精神分裂患者创建地下搏击俱乐部的反叛故事,搏击俱乐部,布拉德·皮特|爱德华·诺顿|海伦娜·伯翰·卡特|米特·洛夫,大卫·芬奇,1999,二十世纪福克斯,139,剧情|惊悚|喜剧,D:/Movies/搏击俱乐部.mp4,H264,1920,1080,8340
movie-011,低俗小说,几个相互交织的犯罪故事组成的黑色幽默电影,低俗小说,约翰·特拉沃尔塔|乌玛·瑟曼|塞缪尔·L·杰克逊|布鲁斯·威利斯,昆汀·塔伦蒂诺,1994,米拉麦克斯影业,154,剧情|喜剧|犯罪,D:/Movies/低俗小说.mp4,H264,1920,1080,9240
movie-012,星际穿越,未来地球环境恶化，人类通过虫洞寻找新家园,星际穿越,马修·麦康纳|安妮·海瑟薇|杰西卡·查斯坦|迈克尔·凯恩,克里斯托弗·诺兰,2014,派拉蒙影业,169,科幻|冒险|剧情,D:/Movies/星际穿越.mp4,H264,1920,1080,10140
movie-013,教父,纽约黑手党柯里昂家族的故事,教父,马龙·白兰度|阿尔·帕西诺|詹姆斯·凯恩|理查德·S·卡索,弗朗西斯·福特·科波拉,1972,派拉蒙影业,175,剧情|犯罪,D:/Movies/教父.mp4,H264,1920,1080,10500
movie-014,肖申克的救赎,银行家安迪蒙冤入狱后的传奇经历,肖申克的救赎,蒂姆·罗宾斯|摩根·弗里曼|鲍勃·冈顿|威廉·桑德勒,弗兰克·德拉邦特,1994,哥伦比亚影业,142,剧情|犯罪,D:/Movies/肖申克的救赎.mp4,H264,1920,1080,8520
movie-015,十二怒汉,陪审团成员说服其他人重审案件的故事,十二怒汉,亨利·方达|马丁·鲍尔萨姆|李·科布|杰克·克卢格曼,西德尼·吕美特,1957,联艺电影,96,剧情,D:/Movies/十二怒汉.mp4,H264,1920,1080,5760
movie-016,飞越疯人院,为逃避监狱劳动而装疯进入精神病院的故事,飞越疯人院,杰克·尼科尔森|路易丝·弗莱彻|威尔·桑普森|布拉德·道里夫,米洛斯·福尔曼,1975,联艺电影,133,剧情,D:/Movies/飞越疯人院.mp4,H264,1920,1080,7980
movie-017,沉默的羔羊,FBI学员与食人魔汉尼拔·莱克特的惊悚故事,沉默的羔羊,朱迪·福斯特|安东尼·霍普金斯|斯科特·格伦|安东尼·海德,乔纳森·戴米,1991,三星影业,118,惊悚|剧情|犯罪,D:/Movies/沉默的羔羊.mp4,H264,1920,1080,7080
movie-018,阿甘正传,智商只有75的阿甘创造传奇人生的励志故事,阿甘正传,汤姆·汉克斯|罗宾·怀特|加里·辛尼斯|萨莉·菲尔德,罗伯特·泽米吉斯,1994,派拉蒙影业,142,剧情|喜剧|爱情,D:/Movies/阿甘正传.mp4,H264,1920,1080,8520
movie-019,异形,太空飞船船员遭遇外星生物的科幻恐怖经典,异形,西格妮·韦弗|汤姆·斯凯里特|约翰·赫特|伊安·霍姆,雷德利·斯科特,1979,二十世纪福克斯,117,科幻|恐怖|惊悚,D:/Movies/异形.mp4,H264,1920,1080,7020
movie-020,终结者,从未来穿越回来的机器人试图杀死人类未来领袖的母亲,终结者,阿诺德·施瓦辛格|琳达·汉密尔顿|迈克尔·比恩|保罗·温菲尔德,詹姆斯·卡梅隆,1984,三星影业,107,科幻|动作|惊悚,D:/Movies/终结者.mp4,H264,1920,1080,6420
